comment,network,quality,satisfaction
I’m having a blast watching this!,Moderate,1080p,0.93
Mediocre experience.,Excellent,1080p,0.45
Amazing gameplay and no lag at all!,Good,480p,0.99
I’m having a blast watching this!,Poor,1080p,0.95
Amazing gameplay and no lag at all!,Excellent,720p,0.77
"Could be better, could be worse.",Excellent,480p,0.48
"Everything is perfect, thanks!",Good,720p,0.94
I’m having a blast watching this!,Very Poor,1080p,0.92
Audio was off sync. Please fix!,Moderate,1080p,0.0
"Loved the stream quality, keep it up!",Moderate,360p,0.86
"Too much buffering, not enjoyable.",Moderate,720p,0.28
Amazing gameplay and no lag at all!,Good,480p,0.88
Network is causing delays.,Good,480p,0.29
Audio was off sync. Please fix!,Moderate,720p,0.0
I’m having a blast watching this!,Moderate,360p,1.0
"Too much buffering, not enjoyable.",Excellent,1080p,0.09
Amazing gameplay and no lag at all!,Excellent,720p,0.86
"Loved the stream quality, keep it up!",Moderate,480p,0.8
Audio was off sync. Please fix!,Very Poor,360p,0.46
"Everything is perfect, thanks!",Good,360p,0.79
"Too much buffering, not enjoyable.",Very Poor,720p,0.18
"Loved the stream quality, keep it up!",Very Poor,720p,0.98
Amazing gameplay and no lag at all!,Poor,720p,0.93
Stream kept freezing every few minutes.,Poor,1080p,0.29
Stream kept freezing every few minutes.,Moderate,720p,0.31
Stream kept freezing every few minutes.,Good,480p,0.23
"Too much buffering, not enjoyable.",Poor,360p,0.27
"Everything is perfect, thanks!",Excellent,720p,0.82
The video quality is poor.,Very Poor,360p,0.24
"Nothing special, just another game.",Good,720p,0.49
Great commentary and visuals!,Excellent,1080p,0.75
"Everything is perfect, thanks!",Very Poor,360p,0.89
"Nothing special, just another game.",Poor,720p,0.38
Network is causing delays.,Very Poor,1080p,0.25
"Too much buffering, not enjoyable.",Very Poor,360p,0.11
"Everything is perfect, thanks!",Excellent,1080p,0.94
Great commentary and visuals!,Poor,480p,0.94
Mediocre experience.,Good,360p,0.62
I’m having a blast watching this!,Good,720p,0.96
Audio was off sync. Please fix!,Very Poor,1080p,0.39
Audio was off sync. Please fix!,Excellent,1080p,0.08
Audio was off sync. Please fix!,Good,480p,0.17
Audio was off sync. Please fix!,Moderate,360p,0.0
"Could be better, could be worse.",Excellent,480p,0.49
Great commentary and visuals!,Moderate,1080p,0.85
Amazing gameplay and no lag at all!,Good,480p,0.95
Audio was off sync. Please fix!,Good,480p,0.33
"Loved the stream quality, keep it up!",Excellent,480p,0.99
Network is causing delays.,Poor,720p,0.02
Amazing gameplay and no lag at all!,Moderate,1080p,0.85
"Could be better, could be worse.",Good,480p,0.82
"Everything is perfect, thanks!",Very Poor,480p,0.87
Amazing gameplay and no lag at all!,Poor,720p,0.89
Amazing gameplay and no lag at all!,Excellent,480p,0.83
"Loved the stream quality, keep it up!",Poor,360p,0.8
I’m having a blast watching this!,Poor,1080p,0.92
I’m having a blast watching this!,Excellent,720p,0.94
I’m having a blast watching this!,Good,1080p,0.91
"Loved the stream quality, keep it up!",Good,480p,0.9
Audio was off sync. Please fix!,Very Poor,360p,0.43
The video quality is poor.,Very Poor,720p,0.0
The video quality is poor.,Very Poor,480p,0.09
"Loved the stream quality, keep it up!",Moderate,1080p,0.85
"Nothing special, just another game.",Moderate,720p,0.59
Network is causing delays.,Poor,1080p,0.11
"Too much buffering, not enjoyable.",Good,480p,0.27
"Loved the stream quality, keep it up!",Poor,480p,0.87
"Everything is perfect, thanks!",Excellent,720p,0.86
"Everything is perfect, thanks!",Moderate,360p,0.91
The video quality is poor.,Very Poor,1080p,0.27
Decent audio but poor video.,Excellent,720p,0.55
Network is causing delays.,Excellent,1080p,0.15
"Loved the stream quality, keep it up!",Excellent,1080p,0.93
Network is causing delays.,Good,480p,0.05
"Loved the stream quality, keep it up!",Very Poor,360p,0.89
Audio was off sync. Please fix!,Moderate,1080p,0.37
Audio was off sync. Please fix!,Good,720p,0.33
"Could be better, could be worse.",Good,1080p,0.67
Great commentary and visuals!,Poor,360p,0.77
The video quality is poor.,Moderate,480p,0.33
"Too much buffering, not enjoyable.",Very Poor,720p,0.15
Stream is okay.,Very Poor,480p,0.68
Audio was off sync. Please fix!,Very Poor,1080p,0.16
Network is causing delays.,Poor,480p,0.26
Amazing gameplay and no lag at all!,Very Poor,480p,0.9
"Everything is perfect, thanks!",Excellent,360p,0.94
The video quality is poor.,Good,1080p,0.22
The video quality is poor.,Moderate,480p,0.31
I’m having a blast watching this!,Very Poor,480p,0.83
"Nothing special, just another game.",Very Poor,720p,0.5
"Nothing special, just another game.",Poor,360p,0.49
"Nothing special, just another game.",Very Poor,360p,0.8
Mediocre experience.,Excellent,720p,0.42
The video quality is poor.,Moderate,480p,0.12
I’m having a blast watching this!,Good,480p,0.98
I’m having a blast watching this!,Moderate,360p,0.86
Network is causing delays.,Moderate,480p,0.11
"Too much buffering, not enjoyable.",Very Poor,360p,0.28
"Loved the stream quality, keep it up!",Poor,480p,0.92
"Too much buffering, not enjoyable.",Moderate,1080p,0.41
Decent audio but poor video.,Excellent,360p,0.63
The video quality is poor.,Poor,480p,0.05
"Everything is perfect, thanks!",Very Poor,480p,0.9
"Everything is perfect, thanks!",Very Poor,1080p,0.99
Stream is okay.,Very Poor,1080p,0.7
I’m having a blast watching this!,Very Poor,720p,0.81
Decent audio but poor video.,Very Poor,1080p,0.76
Amazing gameplay and no lag at all!,Very Poor,720p,0.97
The video quality is poor.,Poor,1080p,0.0
"Loved the stream quality, keep it up!",Very Poor,360p,0.98
"Everything is perfect, thanks!",Moderate,1080p,0.95
Great commentary and visuals!,Excellent,360p,0.85
Decent audio but poor video.,Moderate,480p,0.62
Mediocre experience.,Good,1080p,0.51
Audio was off sync. Please fix!,Moderate,720p,0.22
"Loved the stream quality, keep it up!",Very Poor,720p,1.0
"Everything is perfect, thanks!",Excellent,720p,0.83
Stream kept freezing every few minutes.,Very Poor,720p,0.39
Stream kept freezing every few minutes.,Moderate,480p,0.21
Stream kept freezing every few minutes.,Good,360p,0.39
Decent audio but poor video.,Moderate,360p,0.47
Great commentary and visuals!,Very Poor,1080p,0.76
"Everything is perfect, thanks!",Moderate,480p,0.91
Great commentary and visuals!,Moderate,480p,1.0
Great commentary and visuals!,Very Poor,1080p,0.91
"Could be better, could be worse.",Moderate,720p,0.55
"Too much buffering, not enjoyable.",Very Poor,360p,0.07
Audio was off sync. Please fix!,Excellent,720p,0.07
"Could be better, could be worse.",Good,360p,0.67
Great commentary and visuals!,Good,480p,1.0
"Too much buffering, not enjoyable.",Excellent,480p,0.15
Stream kept freezing every few minutes.,Excellent,360p,0.05
Great commentary and visuals!,Good,360p,0.9
Audio was off sync. Please fix!,Moderate,720p,0.25
"Loved the stream quality, keep it up!",Very Poor,480p,0.91
Network is causing delays.,Good,360p,0.18
Network is causing delays.,Good,360p,0.06
Audio was off sync. Please fix!,Good,1080p,0.09
Stream is okay.,Good,480p,0.38
Stream is okay.,Excellent,480p,0.41
"Loved the stream quality, keep it up!",Good,1080p,0.83
The video quality is poor.,Poor,720p,0.08
I’m having a blast watching this!,Good,480p,0.76
"Too much buffering, not enjoyable.",Excellent,480p,0.11
"Loved the stream quality, keep it up!",Good,1080p,0.91
"Everything is perfect, thanks!",Poor,360p,0.93
Great commentary and visuals!,Very Poor,720p,0.92
Amazing gameplay and no lag at all!,Excellent,480p,0.94
I’m having a blast watching this!,Moderate,1080p,0.87
I’m having a blast watching this!,Moderate,360p,0.88
Amazing gameplay and no lag at all!,Very Poor,1080p,0.86
I’m having a blast watching this!,Good,480p,0.93
The video quality is poor.,Moderate,480p,0.34
Mediocre experience.,Good,360p,0.65
"Everything is perfect, thanks!",Good,720p,0.83
Amazing gameplay and no lag at all!,Moderate,720p,0.93
Mediocre experience.,Poor,360p,0.46
"Loved the stream quality, keep it up!",Excellent,1080p,1.0
Stream kept freezing every few minutes.,Excellent,1080p,0.11
Great commentary and visuals!,Excellent,480p,0.9
"Everything is perfect, thanks!",Excellent,360p,0.79
"Too much buffering, not enjoyable.",Good,480p,0.08
The video quality is poor.,Good,480p,0.27
"Too much buffering, not enjoyable.",Moderate,1080p,0.35
"Too much buffering, not enjoyable.",Excellent,480p,0.1
Amazing gameplay and no lag at all!,Good,480p,1.0
Audio was off sync. Please fix!,Excellent,360p,0.37
The video quality is poor.,Poor,1080p,0.0
Audio was off sync. Please fix!,Good,720p,0.27
"Could be better, could be worse.",Good,480p,0.63
Amazing gameplay and no lag at all!,Moderate,1080p,0.83
"Everything is perfect, thanks!",Good,720p,0.89
Stream kept freezing every few minutes.,Moderate,720p,0.32
Audio was off sync. Please fix!,Excellent,360p,0.35
Network is causing delays.,Good,480p,0.08
Mediocre experience.,Very Poor,360p,0.67
Stream kept freezing every few minutes.,Moderate,360p,0.12
Mediocre experience.,Poor,480p,0.57
I’m having a blast watching this!,Excellent,720p,0.95
Stream kept freezing every few minutes.,Moderate,1080p,0.26
I’m having a blast watching this!,Good,480p,0.84
I’m having a blast watching this!,Good,720p,0.82
Great commentary and visuals!,Moderate,480p,0.8
"Loved the stream quality, keep it up!",Poor,360p,1.0
I’m having a blast watching this!,Poor,720p,0.89
Stream kept freezing every few minutes.,Good,720p,0.15
"Loved the stream quality, keep it up!",Poor,480p,0.86
"Too much buffering, not enjoyable.",Good,1080p,0.0
I’m having a blast watching this!,Very Poor,1080p,0.96
Network is causing delays.,Poor,1080p,0.11
"Everything is perfect, thanks!",Very Poor,720p,0.96
"Too much buffering, not enjoyable.",Good,480p,0.04
Audio was off sync. Please fix!,Poor,720p,0.23
Great commentary and visuals!,Good,1080p,0.98
The video quality is poor.,Moderate,480p,0.35
Mediocre experience.,Moderate,360p,0.68
Mediocre experience.,Moderate,360p,0.58
Stream kept freezing every few minutes.,Very Poor,480p,0.4
Stream kept freezing every few minutes.,Very Poor,720p,0.13
Mediocre experience.,Moderate,360p,0.58
Audio was off sync. Please fix!,Very Poor,480p,0.37
"Loved the stream quality, keep it up!",Good,720p,0.88
"Too much buffering, not enjoyable.",Good,480p,0.17
"Loved the stream quality, keep it up!",Excellent,480p,0.99
"Nothing special, just another game.",Moderate,720p,0.52
"Loved the stream quality, keep it up!",Poor,720p,0.76
The video quality is poor.,Poor,480p,0.23
"Nothing special, just another game.",Very Poor,480p,0.69
Great commentary and visuals!,Poor,720p,0.99
The video quality is poor.,Very Poor,480p,0.09
I’m having a blast watching this!,Excellent,720p,0.92
Stream kept freezing every few minutes.,Poor,480p,0.13
Audio was off sync. Please fix!,Moderate,720p,0.07
"Everything is perfect, thanks!",Moderate,360p,0.79
"Everything is perfect, thanks!",Moderate,720p,0.9
I’m having a blast watching this!,Excellent,480p,0.83
Audio was off sync. Please fix!,Very Poor,720p,0.09
Great commentary and visuals!,Poor,360p,0.89
Amazing gameplay and no lag at all!,Poor,1080p,0.98
"Too much buffering, not enjoyable.",Poor,360p,0.25
"Loved the stream quality, keep it up!",Good,1080p,1.0
Decent audio but poor video.,Poor,480p,0.83
Great commentary and visuals!,Poor,1080p,0.9
"Loved the stream quality, keep it up!",Very Poor,720p,0.89
The video quality is poor.,Very Poor,1080p,0.32
Mediocre experience.,Excellent,360p,0.58
"Loved the stream quality, keep it up!",Excellent,480p,0.89
Network is causing delays.,Good,480p,0.14
I’m having a blast watching this!,Poor,1080p,0.9
Decent audio but poor video.,Very Poor,360p,0.56
Mediocre experience.,Moderate,360p,0.64
"Too much buffering, not enjoyable.",Poor,720p,0.17
Great commentary and visuals!,Good,1080p,0.97
"Loved the stream quality, keep it up!",Very Poor,720p,0.87
The video quality is poor.,Poor,1080p,0.26
The video quality is poor.,Excellent,480p,0.02
Audio was off sync. Please fix!,Excellent,720p,0.13
Network is causing delays.,Excellent,360p,0.32
I’m having a blast watching this!,Poor,720p,0.82
The video quality is poor.,Very Poor,720p,0.16
I’m having a blast watching this!,Very Poor,1080p,0.75
"Nothing special, just another game.",Excellent,360p,0.68
Network is causing delays.,Very Poor,480p,0.02
Audio was off sync. Please fix!,Very Poor,720p,0.19
"Too much buffering, not enjoyable.",Poor,720p,0.2
Audio was off sync. Please fix!,Very Poor,720p,0.24
Audio was off sync. Please fix!,Poor,360p,0.19
I’m having a blast watching this!,Very Poor,720p,0.9
Network is causing delays.,Good,480p,0.09
Amazing gameplay and no lag at all!,Very Poor,480p,0.88
"Could be better, could be worse.",Poor,1080p,0.69
Network is causing delays.,Good,1080p,0.37
"Could be better, could be worse.",Poor,480p,0.72
Great commentary and visuals!,Excellent,720p,0.89
Network is causing delays.,Good,720p,0.0
I’m having a blast watching this!,Poor,1080p,0.84
Stream kept freezing every few minutes.,Poor,480p,0.34
"Could be better, could be worse.",Poor,480p,0.51
"Loved the stream quality, keep it up!",Excellent,1080p,0.99
Stream kept freezing every few minutes.,Good,360p,0.27
Great commentary and visuals!,Moderate,720p,0.95
"Loved the stream quality, keep it up!",Excellent,720p,1.0
I’m having a blast watching this!,Good,480p,0.84
Stream kept freezing every few minutes.,Excellent,360p,0.29
"Too much buffering, not enjoyable.",Poor,720p,0.42
Amazing gameplay and no lag at all!,Very Poor,360p,0.86
Amazing gameplay and no lag at all!,Good,720p,0.94
The video quality is poor.,Very Poor,480p,0.09
Great commentary and visuals!,Poor,1080p,0.91
I’m having a blast watching this!,Excellent,720p,0.9
Great commentary and visuals!,Poor,360p,0.89
"Nothing special, just another game.",Very Poor,720p,0.48
Audio was off sync. Please fix!,Excellent,360p,0.0
Mediocre experience.,Very Poor,720p,0.74
Stream kept freezing every few minutes.,Moderate,360p,0.27
"Everything is perfect, thanks!",Very Poor,360p,1.0
Amazing gameplay and no lag at all!,Good,720p,0.87
Audio was off sync. Please fix!,Very Poor,360p,0.03
Great commentary and visuals!,Very Poor,720p,0.96
Network is causing delays.,Moderate,720p,0.23
Audio was off sync. Please fix!,Poor,480p,0.33
The video quality is poor.,Good,720p,0.2
Stream is okay.,Good,1080p,0.39
Audio was off sync. Please fix!,Moderate,720p,0.05
Network is causing delays.,Good,720p,0.12
"Everything is perfect, thanks!",Poor,720p,0.96
Stream is okay.,Very Poor,720p,0.69
Mediocre experience.,Poor,720p,0.69
"Could be better, could be worse.",Poor,360p,0.56
Stream is okay.,Moderate,720p,0.71
Stream kept freezing every few minutes.,Poor,480p,0.24
Amazing gameplay and no lag at all!,Poor,360p,0.93
Amazing gameplay and no lag at all!,Excellent,720p,0.9
"Everything is perfect, thanks!",Good,720p,0.84
Audio was off sync. Please fix!,Moderate,720p,0.18
Stream is okay.,Moderate,480p,0.65
"Nothing special, just another game.",Very Poor,480p,0.66
"Too much buffering, not enjoyable.",Moderate,720p,0.31
Stream is okay.,Excellent,360p,0.42
I’m having a blast watching this!,Excellent,720p,0.94
"Nothing special, just another game.",Excellent,480p,0.59
Great commentary and visuals!,Very Poor,360p,0.85
I’m having a blast watching this!,Very Poor,720p,0.92
Amazing gameplay and no lag at all!,Very Poor,720p,1.0
Amazing gameplay and no lag at all!,Moderate,480p,0.94
Amazing gameplay and no lag at all!,Moderate,1080p,0.77
"Too much buffering, not enjoyable.",Good,720p,0.07
Decent audio but poor video.,Poor,480p,0.62
Amazing gameplay and no lag at all!,Moderate,480p,0.99
The video quality is poor.,Moderate,1080p,0.32
Mediocre experience.,Very Poor,480p,0.57
Amazing gameplay and no lag at all!,Moderate,480p,0.86
Mediocre experience.,Good,1080p,0.61
Mediocre experience.,Good,360p,0.41
Network is causing delays.,Excellent,360p,0.15
Great commentary and visuals!,Poor,480p,0.85
Stream kept freezing every few minutes.,Poor,720p,0.05
Audio was off sync. Please fix!,Excellent,1080p,0.0
I’m having a blast watching this!,Poor,1080p,0.81
Stream is okay.,Poor,1080p,0.69
Stream kept freezing every few minutes.,Excellent,360p,0.31
"Everything is perfect, thanks!",Excellent,1080p,0.97
Audio was off sync. Please fix!,Excellent,360p,0.18
"Loved the stream quality, keep it up!",Excellent,360p,0.88
Stream is okay.,Poor,480p,0.36
I’m having a blast watching this!,Very Poor,480p,0.99
Network is causing delays.,Moderate,1080p,0.01
I’m having a blast watching this!,Moderate,1080p,0.91
I’m having a blast watching this!,Moderate,720p,0.97
I’m having a blast watching this!,Good,720p,0.99
Decent audio but poor video.,Poor,1080p,0.71
Amazing gameplay and no lag at all!,Very Poor,720p,0.95
"Could be better, could be worse.",Good,360p,0.43
Amazing gameplay and no lag at all!,Moderate,360p,0.97
Amazing gameplay and no lag at all!,Moderate,480p,0.98
Stream is okay.,Moderate,1080p,0.57
Amazing gameplay and no lag at all!,Poor,720p,1.0
The video quality is poor.,Excellent,1080p,0.25
Network is causing delays.,Excellent,720p,0.22
The video quality is poor.,Moderate,480p,0.21
Great commentary and visuals!,Very Poor,720p,0.88
"Everything is perfect, thanks!",Very Poor,720p,0.94
"Everything is perfect, thanks!",Very Poor,360p,0.73
"Nothing special, just another game.",Poor,1080p,0.67
"Too much buffering, not enjoyable.",Good,360p,0.11
I’m having a blast watching this!,Excellent,720p,0.73
Network is causing delays.,Moderate,360p,0.02
Great commentary and visuals!,Very Poor,1080p,1.0
The video quality is poor.,Good,480p,0.09
"Everything is perfect, thanks!",Moderate,720p,0.83
Amazing gameplay and no lag at all!,Good,720p,0.85
Network is causing delays.,Very Poor,1080p,0.3
Audio was off sync. Please fix!,Poor,1080p,0.2
Network is causing delays.,Moderate,1080p,0.06
I’m having a blast watching this!,Good,360p,0.9
"Loved the stream quality, keep it up!",Moderate,480p,0.88
Decent audio but poor video.,Poor,1080p,0.82
"Too much buffering, not enjoyable.",Moderate,480p,0.25
"Everything is perfect, thanks!",Very Poor,1080p,0.9
The video quality is poor.,Excellent,720p,0.04
I’m having a blast watching this!,Moderate,720p,0.92
Great commentary and visuals!,Poor,360p,0.88
"Everything is perfect, thanks!",Very Poor,360p,0.9
"Everything is perfect, thanks!",Moderate,360p,0.82
Great commentary and visuals!,Excellent,360p,0.94
"Nothing special, just another game.",Excellent,720p,0.72
"Everything is perfect, thanks!",Moderate,360p,0.86
"Loved the stream quality, keep it up!",Good,480p,1.0
Stream is okay.,Very Poor,1080p,0.72
I’m having a blast watching this!,Good,360p,0.98
"Everything is perfect, thanks!",Poor,720p,0.92
The video quality is poor.,Moderate,1080p,0.04
"Everything is perfect, thanks!",Poor,360p,1.0
"Nothing special, just another game.",Very Poor,1080p,0.47
"Nothing special, just another game.",Excellent,1080p,0.78
Network is causing delays.,Good,1080p,0.25
I’m having a blast watching this!,Very Poor,720p,0.81
"Everything is perfect, thanks!",Poor,360p,0.96
"Loved the stream quality, keep it up!",Poor,720p,0.87
Stream is okay.,Excellent,720p,0.58
Great commentary and visuals!,Good,480p,0.71
"Everything is perfect, thanks!",Excellent,360p,0.77
Great commentary and visuals!,Poor,480p,0.87
Network is causing delays.,Good,720p,0.35
The video quality is poor.,Poor,480p,0.22
Stream is okay.,Excellent,480p,0.67
Decent audio but poor video.,Moderate,720p,0.63
"Everything is perfect, thanks!",Excellent,360p,0.97
Audio was off sync. Please fix!,Good,360p,0.44
"Could be better, could be worse.",Very Poor,360p,0.55
"Loved the stream quality, keep it up!",Good,360p,0.91
The video quality is poor.,Poor,720p,0.06
Network is causing delays.,Poor,720p,0.39
Network is causing delays.,Moderate,480p,0.1
"Loved the stream quality, keep it up!",Good,1080p,0.97
Stream kept freezing every few minutes.,Poor,1080p,0.0
Audio was off sync. Please fix!,Poor,480p,0.2
Great commentary and visuals!,Very Poor,360p,0.84
Amazing gameplay and no lag at all!,Excellent,720p,0.97
Network is causing delays.,Moderate,360p,0.22
Stream kept freezing every few minutes.,Moderate,720p,0.22
Network is causing delays.,Excellent,360p,0.12
"Everything is perfect, thanks!",Good,1080p,0.92
"Too much buffering, not enjoyable.",Excellent,480p,0.16
Network is causing delays.,Very Poor,480p,0.11
Decent audio but poor video.,Good,480p,0.68
I’m having a blast watching this!,Moderate,480p,0.98
Amazing gameplay and no lag at all!,Excellent,360p,0.93
Stream kept freezing every few minutes.,Poor,720p,0.36
Amazing gameplay and no lag at all!,Excellent,480p,0.87
"Loved the stream quality, keep it up!",Good,480p,0.92
Stream kept freezing every few minutes.,Good,720p,0.35
"Everything is perfect, thanks!",Very Poor,360p,0.84
"Loved the stream quality, keep it up!",Excellent,480p,0.87
Decent audio but poor video.,Poor,1080p,0.62
Audio was off sync. Please fix!,Moderate,360p,0.25
"Nothing special, just another game.",Excellent,1080p,0.74
I’m having a blast watching this!,Moderate,480p,0.96
"Nothing special, just another game.",Good,1080p,0.44
Audio was off sync. Please fix!,Poor,720p,0.31
Great commentary and visuals!,Poor,360p,1.0
Amazing gameplay and no lag at all!,Poor,720p,0.89
Mediocre experience.,Moderate,720p,0.41
"Everything is perfect, thanks!",Poor,360p,0.91
Great commentary and visuals!,Poor,480p,0.93
Network is causing delays.,Poor,480p,0.13
Stream kept freezing every few minutes.,Excellent,1080p,0.41
I’m having a blast watching this!,Very Poor,360p,0.83
"Could be better, could be worse.",Excellent,720p,0.66
Audio was off sync. Please fix!,Good,1080p,0.43
"Too much buffering, not enjoyable.",Moderate,720p,0.25
"Could be better, could be worse.",Excellent,1080p,0.69
"Nothing special, just another game.",Good,720p,0.46
Mediocre experience.,Poor,360p,0.82
"Loved the stream quality, keep it up!",Excellent,480p,0.93
Great commentary and visuals!,Moderate,360p,0.88
Mediocre experience.,Very Poor,360p,0.67
Audio was off sync. Please fix!,Poor,1080p,0.05
The video quality is poor.,Very Poor,360p,0.07
Network is causing delays.,Poor,1080p,0.44
Decent audio but poor video.,Poor,1080p,0.62
Stream kept freezing every few minutes.,Very Poor,720p,0.0
Amazing gameplay and no lag at all!,Moderate,360p,0.99
Mediocre experience.,Very Poor,360p,0.68
"Too much buffering, not enjoyable.",Good,720p,0.19
"Too much buffering, not enjoyable.",Moderate,720p,0.13
I’m having a blast watching this!,Good,1080p,0.8
Amazing gameplay and no lag at all!,Moderate,1080p,0.82
Network is causing delays.,Moderate,720p,0.18
The video quality is poor.,Excellent,720p,0.09
Network is causing delays.,Good,480p,0.3
Stream kept freezing every few minutes.,Poor,480p,0.3
"Too much buffering, not enjoyable.",Good,1080p,0.02
Network is causing delays.,Poor,720p,0.39
"Loved the stream quality, keep it up!",Good,360p,0.91
Amazing gameplay and no lag at all!,Very Poor,360p,0.9
"Everything is perfect, thanks!",Very Poor,480p,0.76
Network is causing delays.,Good,1080p,0.16
"Everything is perfect, thanks!",Very Poor,480p,0.76
Amazing gameplay and no lag at all!,Very Poor,480p,0.9
Decent audio but poor video.,Excellent,480p,0.76
"Loved the stream quality, keep it up!",Very Poor,1080p,1.0
Stream kept freezing every few minutes.,Very Poor,360p,0.18
"Everything is perfect, thanks!",Good,480p,1.0
"Too much buffering, not enjoyable.",Very Poor,720p,0.27
"Everything is perfect, thanks!",Poor,720p,0.86
Stream is okay.,Moderate,1080p,0.8
Amazing gameplay and no lag at all!,Poor,360p,0.92
Stream is okay.,Poor,1080p,0.7
"Nothing special, just another game.",Moderate,1080p,0.66
The video quality is poor.,Poor,720p,0.37
Amazing gameplay and no lag at all!,Poor,1080p,0.95
"Everything is perfect, thanks!",Excellent,720p,0.93
"Loved the stream quality, keep it up!",Moderate,1080p,0.95
I’m having a blast watching this!,Good,720p,0.97
Decent audio but poor video.,Very Poor,720p,0.75
Decent audio but poor video.,Poor,360p,0.8
Amazing gameplay and no lag at all!,Very Poor,480p,0.91
"Everything is perfect, thanks!",Moderate,360p,1.0
"Everything is perfect, thanks!",Very Poor,360p,0.95
Decent audio but poor video.,Excellent,360p,0.47
Amazing gameplay and no lag at all!,Very Poor,1080p,0.79
Stream kept freezing every few minutes.,Moderate,720p,0.07
Network is causing delays.,Poor,480p,0.0
The video quality is poor.,Excellent,360p,0.03
"Everything is perfect, thanks!",Very Poor,720p,1.0
Great commentary and visuals!,Excellent,360p,1.0
I’m having a blast watching this!,Moderate,720p,0.96
Network is causing delays.,Excellent,480p,0.17
"Everything is perfect, thanks!",Very Poor,480p,0.83
Great commentary and visuals!,Poor,1080p,0.85
I’m having a blast watching this!,Excellent,360p,0.84
Decent audio but poor video.,Good,720p,0.85
"Could be better, could be worse.",Good,1080p,0.41
Great commentary and visuals!,Moderate,360p,0.96
"Nothing special, just another game.",Very Poor,1080p,0.6
"Too much buffering, not enjoyable.",Moderate,480p,0.39
I’m having a blast watching this!,Moderate,1080p,0.88
Great commentary and visuals!,Very Poor,1080p,0.98
"Loved the stream quality, keep it up!",Poor,360p,0.92
"Could be better, could be worse.",Poor,480p,0.77
"Nothing special, just another game.",Good,480p,0.65
"Everything is perfect, thanks!",Very Poor,1080p,0.84
I’m having a blast watching this!,Good,360p,0.95
Audio was off sync. Please fix!,Excellent,1080p,0.1
Amazing gameplay and no lag at all!,Excellent,360p,0.8
I’m having a blast watching this!,Poor,720p,0.92
Network is causing delays.,Very Poor,480p,0.14
"Everything is perfect, thanks!",Moderate,1080p,0.88
Stream is okay.,Poor,720p,0.41
"Could be better, could be worse.",Very Poor,1080p,0.46
Stream kept freezing every few minutes.,Good,480p,0.38
The video quality is poor.,Poor,720p,0.37
"Everything is perfect, thanks!",Good,360p,0.72
Audio was off sync. Please fix!,Very Poor,720p,0.26
"Could be better, could be worse.",Very Poor,1080p,0.55
Decent audio but poor video.,Poor,480p,0.41
Network is causing delays.,Poor,720p,0.33
Decent audio but poor video.,Very Poor,720p,0.6
The video quality is poor.,Good,1080p,0.08
"Everything is perfect, thanks!",Good,480p,0.89
Amazing gameplay and no lag at all!,Moderate,1080p,0.92
Stream kept freezing every few minutes.,Moderate,720p,0.05
"Could be better, could be worse.",Good,720p,0.55
I’m having a blast watching this!,Good,1080p,0.87
Great commentary and visuals!,Very Poor,720p,0.85
"Everything is perfect, thanks!",Poor,720p,0.9
"Too much buffering, not enjoyable.",Moderate,1080p,0.02
Great commentary and visuals!,Poor,720p,0.92
I’m having a blast watching this!,Poor,720p,0.72
"Loved the stream quality, keep it up!",Poor,480p,1.0
Stream kept freezing every few minutes.,Good,720p,0.0
Network is causing delays.,Excellent,360p,0.18
"Loved the stream quality, keep it up!",Good,1080p,0.8
"Loved the stream quality, keep it up!",Very Poor,1080p,0.92
"Could be better, could be worse.",Very Poor,480p,0.47
Amazing gameplay and no lag at all!,Moderate,720p,0.75
Audio was off sync. Please fix!,Poor,480p,0.1
Decent audio but poor video.,Excellent,360p,0.67
Stream kept freezing every few minutes.,Very Poor,720p,0.12
Great commentary and visuals!,Excellent,1080p,0.84
"Everything is perfect, thanks!",Excellent,1080p,0.92
"Loved the stream quality, keep it up!",Poor,360p,1.0
Stream kept freezing every few minutes.,Very Poor,360p,0.32
Mediocre experience.,Very Poor,720p,0.53
"Too much buffering, not enjoyable.",Very Poor,1080p,0.08
Stream kept freezing every few minutes.,Moderate,480p,0.12
I’m having a blast watching this!,Moderate,360p,0.8
Great commentary and visuals!,Very Poor,720p,0.86
Audio was off sync. Please fix!,Excellent,360p,0.06
Network is causing delays.,Excellent,1080p,0.14
I’m having a blast watching this!,Poor,480p,0.96
I’m having a blast watching this!,Poor,360p,0.83
"Loved the stream quality, keep it up!",Excellent,1080p,0.89
Audio was off sync. Please fix!,Poor,360p,0.27
"Too much buffering, not enjoyable.",Good,480p,0.16
Network is causing delays.,Moderate,480p,0.35
The video quality is poor.,Excellent,720p,0.06
Great commentary and visuals!,Excellent,360p,1.0
Decent audio but poor video.,Excellent,720p,0.61
Audio was off sync. Please fix!,Moderate,360p,0.36
Stream is okay.,Excellent,360p,0.7
I’m having a blast watching this!,Good,720p,0.92
Audio was off sync. Please fix!,Excellent,480p,0.41
Audio was off sync. Please fix!,Excellent,480p,0.28
"Nothing special, just another game.",Moderate,1080p,0.42
"Too much buffering, not enjoyable.",Very Poor,1080p,0.24
I’m having a blast watching this!,Excellent,360p,1.0
Great commentary and visuals!,Poor,360p,0.93
"Loved the stream quality, keep it up!",Very Poor,360p,0.97
